compound_id,compound_name,n_signatures,n_cell_lines,mean_tas,mean_cc_q75
BRD-K28731095,calcitriol,57,5,0.1799907954385965,0.2280561403508772
BRD-K81332461,maxacalcitol,34,4,0.1962763088235294,0.2519764705882353
BRD-K84163249,ercalcitriol,32,5,0.185161175,0.232771875
BRD-K73237276,tacalcitol,28,5,0.20377360000000003,0.27488214285714285
BRD-K28456624,seocalcitol,27,5,0.22403795925925926,0.2957888888888889
BRD-K56429665,calcipotriol,24,5,0.2041771375,0.27305416666666665
BRD-K27316855,calcitriol,24,5,0.195782575,0.2755
BRD-K60585088,paricalcitol,16,3,0.25657281249999997,0.3212125
BRD-A84327315,calcitriol,6,3,0.27863583333333336,0.3466666666666667
BRD-A66229260,calcitriol,4,2,0.14891675,0.155
BRD-A31158127,calcipotriol,4,2,0.30056,0.28750000000000003
BRD-K96390176,calcipotriol,2,2,0.2640405,0.36
