gene_symbol,rid,0,gene_id
IGFBP3,3486,2.873837147761278,3486
DDIT4,54541,2.7143399255635687,54541
TSKU,25987,2.007379519403101,25987
ADGRE5,976,1.8401471250387609,976
TCEA2,6919,1.618560404582713,6919
TXNRD1,7296,1.6173595990015501,7296
NFKBIA,4792,1.5321620870127917,4792
C2CD2,25966,1.419473505195348,25966
CCDC92,80212,1.398700245468992,80212
PHGDH,26227,1.3776430686937986,26227
NPC1,4864,1.364266231161239,4864
MMP1,4312,1.3594868908410864,4312
NET1,10276,1.2442333498023253,10276
SNAP25,6616,1.1946901429404266,6616
BAG3,9531,1.186186037526356,9531
MTHFD2,10797,1.1825777344844965,10797
PRSS23,11098,1.1656580084344963,11098
CCDC86,79080,1.1534418732771317,79080
SPP1,6696,1.130350211081396,6696
ST6GALNAC2,10610,1.1226567729457353,10610
