sig_id,pert_id,cell_id,tas,ss_ngene,distil_cc_q75,pert_dose,pert_dose_unit,pert_time,pert_time_unit,is_exemplar_sig,is_null_sig,is_ncs_sig,qc_pass,dose_bin,core_score
ASG002_A549_24H:A22,BRD-K56429665,A549,0.218764,230,0.2035,10.0,uM,24.0,h,False,False,True,True,high,0.8235546067898775
ASG002_A549_24H:O07,BRD-K27316855,A549,0.074122,76,0.0707,10.0,uM,24.0,h,False,False,True,True,high,0.18031959575006104
LKCP001_U2OS_24H:F09,BRD-K84163249,U2OS,0.135983,102,0.1773,0.1,uM,24.0,h,False,False,True,True,low,-0.7783884734358253
LKCP001_U2OS_24H:J22,BRD-K73237276,U2OS,0.169511,142,0.1979,10.0,uM,24.0,h,False,False,True,True,high,-0.16892515976879277
LKCP001_U2OS_24H:J23,BRD-K73237276,U2OS,0.153094,157,0.146,1.0,uM,24.0,h,False,False,True,True,high,0.029616168555059788
LKCP001_U2OS_24H:J24,BRD-K73237276,U2OS,0.259983,372,0.1777,0.1,uM,24.0,h,False,False,True,True,low,0.4978603062325303
LKCP001_U2OS_24H:N10,BRD-K28456624,U2OS,0.224902,149,0.332,10.0,uM,24.0,h,True,False,True,True,high,0.01566577335203871
LKCP001_U2OS_24H:N11,BRD-K28456624,U2OS,0.136265,111,0.1636,1.0,uM,24.0,h,False,False,True,True,high,-0.08193410953055488
LKCP001_U2OS_24H:N12,BRD-K28456624,U2OS,0.321415,275,0.3674,0.1,uM,24.0,h,False,False,True,True,low,-0.5504292795834432
ASG003_U2OS_24H:G24,BRD-K27316855,U2OS,0.120153,111,0.1272,0.1,uM,24.0,h,False,False,True,True,low,-0.11635333571726897
LKCP001_MCF7_24H:N10,BRD-K28456624,MCF7,0.288826,222,0.3675,10.0,uM,24.0,h,False,False,True,True,high,0.37215735218241763
LKCP001_MCF7_24H:N11,BRD-K28456624,MCF7,0.0989206,116,0.0825,1.0,uM,24.0,h,False,False,True,True,high,-0.26059158868872173
LKCP001_MCF7_24H:N12,BRD-K28456624,MCF7,0.316742,305,0.3217,0.1,uM,24.0,h,False,False,True,True,low,-0.8322818514058156
LKCP001_U2OS_24H:E19,BRD-K28731095,U2OS,0.188533,118,0.2946,5.0,uM,24.0,h,False,False,True,True,high,0.05818484408239809
LKCP001_U2OS_24H:E20,BRD-K28731095,U2OS,0.152989,162,0.1413,0.5,uM,24.0,h,False,False,True,False,low,-0.1261202964758257
LKCP001_U2OS_24H:E21,BRD-K28731095,U2OS,0.137094,73,0.2518,0.05,uM,24.0,h,False,False,True,True,low,-0.3294961339342662
LKCP001_U2OS_24H:F07,BRD-K84163249,U2OS,0.172497,153,0.1902,10.0,uM,24.0,h,False,False,True,True,high,-0.18526641679812364
LKCP001_U2OS_24H:F08,BRD-K84163249,U2OS,0.119097,96,0.1445,1.0,uM,24.0,h,False,False,True,True,high,-0.2957146889721676
LKCP001_MCF7_24H:E20,BRD-K28731095,MCF7,0.125328,95,0.1617,0.5,uM,24.0,h,False,False,True,True,low,-0.12030837141079122
LKCP001_MCF7_24H:E21,BRD-K28731095,MCF7,0.116976,68,0.1968,0.05,uM,24.0,h,False,False,True,True,low,-0.38595841398269826
LKCP001_MCF7_24H:F07,BRD-K84163249,MCF7,0.218356,138,0.3379,10.0,uM,24.0,h,False,False,True,True,high,0.25090282105451567
LKCP001_MCF7_24H:F08,BRD-K84163249,MCF7,0.115309,76,0.1711,1.0,uM,24.0,h,False,False,True,True,high,-0.30021380057797364
LKCP001_MCF7_24H:F09,BRD-K84163249,MCF7,0.0816446,58,0.1124,0.1,uM,24.0,h,False,False,True,True,low,-0.889396772395648
LKCP001_MCF7_24H:J22,BRD-K73237276,MCF7,0.294628,224,0.379,10.0,uM,24.0,h,False,False,True,True,high,0.5970990378299545
LKCP001_MCF7_24H:J23,BRD-K73237276,MCF7,0.140076,136,0.1411,1.0,uM,24.0,h,False,False,True,True,high,0.28674951132019094
