gene_id,selection_freq,sign_consistency,mean_abs_coef,gene_symbol,gene_title
54541,5,1.0,0.05080242687506907,DDIT4,DNA damage inducible transcript 4
4792,5,1.0,0.03208668558999155,NFKBIA,NFKB inhibitor alpha
10112,5,1.0,0.026347285715529568,KIF20A,kinesin family member 20A
4864,5,1.0,0.023309059504020506,NPC1,NPC intracellular cholesterol transporter 1
26227,4,1.0,0.02099948679970263,PHGDH,phosphoglycerate dehydrogenase
51116,5,1.0,0.019837613851911396,MRPS2,mitochondrial ribosomal protein S2
25932,3,1.0,0.019800758618188762,CLIC4,chloride intracellular channel 4
9060,4,1.0,0.019673943111056708,PAPSS2,3'-phosphoadenosine 5'-phosphosulfate synthase 2
2745,5,1.0,0.01850674803558888,GLRX,glutaredoxin
3280,4,1.0,0.018394669692035293,HES1,hes family bHLH transcription factor 1
2280,4,1.0,0.018065839159333116,FKBP1A,FKBP prolyl isomerase 1A
976,4,1.0,0.017657995174723107,ADGRE5,adhesion G protein-coupled receptor E5
22987,3,1.0,0.015599640661968206,SV2C,synaptic vesicle glycoprotein 2C
16,4,1.0,0.015473124312236122,AARS,alanyl-tRNA synthetase
6696,5,1.0,0.015427048721106774,SPP1,secreted phosphoprotein 1
91949,5,1.0,0.01523784828098071,COG7,component of oligomeric golgi complex 7
4216,5,1.0,0.014868743213916763,MAP3K4,mitogen-activated protein kinase kinase kinase 4
178,4,1.0,0.01384660505398121,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"
4496,3,1.0,0.0137905002337923,MT1H,metallothionein 1H
1831,5,1.0,0.013713420146951533,TSC22D3,TSC22 domain family member 3
23635,5,1.0,0.013631845904841433,SSBP2,single stranded DNA binding protein 2
2274,3,1.0,0.013604258782223247,FHL2,four and a half LIM domains 2
6499,5,1.0,0.013196643451903928,SKIV2L,Ski2 like RNA helicase
6347,4,1.0,0.013050977786561387,CCL2,C-C motif chemokine ligand 2
54205,5,1.0,0.012827978826381318,CYCS,"cytochrome c, somatic"
840,4,1.0,0.01265645011194756,CASP7,caspase 7
10426,3,1.0,0.012596039336983,TUBGCP3,tubulin gamma complex associated protein 3
80212,5,1.0,0.012007867416435497,CCDC92,coiled-coil domain containing 92
10227,3,1.0,0.011683239684038713,MFSD10,major facilitator superfamily domain containing 10
207,4,1.0,0.011542173210041135,AKT1,AKT serine/threonine kinase 1
79568,4,1.0,0.01127480937296623,MAIP1,matrix AAA peptidase interacting protein 1
57099,5,1.0,0.011236700767306559,AVEN,apoptosis and caspase activation inhibitor
875,3,1.0,0.011092865328630878,CBS,cystathionine-beta-synthase
10628,4,1.0,0.011057008899395055,TXNIP,thioredoxin interacting protein
5106,5,1.0,0.01078423893273166,PCK2,"phosphoenolpyruvate carboxykinase 2, mitochondrial"
55107,4,1.0,0.010713637185994267,ANO1,anoctamin 1
3796,4,1.0,0.010652414410947738,KIF2A,kinesin family member 2A
10289,3,1.0,0.010649705731559614,EIF1B,eukaryotic translation initiation factor 1B
9518,4,1.0,0.010458976089922651,GDF15,growth differentiation factor 15
10240,3,1.0,0.010222850016101244,MRPS31,mitochondrial ribosomal protein S31
1465,3,1.0,0.010175848486515275,CSRP1,cysteine and glycine rich protein 1
11274,4,1.0,0.009877720969717337,USP18,ubiquitin specific peptidase 18
6240,5,1.0,0.00985009672145803,RRM1,ribonucleotide reductase catalytic subunit M1
1645,4,1.0,0.009700963129933439,AKR1C1,aldo-keto reductase family 1 member C1
7248,4,1.0,0.009192996580676424,TSC1,TSC complex subunit 1
10180,4,1.0,0.009091642862914119,RBM6,RNA binding motif protein 6
4628,3,1.0,0.009058804717180591,MYH10,myosin heavy chain 10
29984,4,1.0,0.008896810196237923,RHOD,ras homolog family member D
53822,3,1.0,0.0086530527306234,FXYD7,FXYD domain containing ion transport regulator 7
