bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_time,pert_itime,pert_time_unit,cell_mfc_name,pert_mfc_id,det_plate,det_well,rna_plate,rna_well,count_mean,count_cv,qc_f_logp,qc_iqr,qc_slope,pert_id,sample_id,pert_type,cell_iname,qc_pass,dyn_range,inv_level_10,build_name,failure_mode,project_code,cmap_name
b40,0.05,0.05,uM,0.05 uM,24.0,24 h,h,A549,BRD-K28731095,LKCP001_A549_24H_X3_B40,E21,LKCP001_A549_24H_X3,E21,91,13,6.0,11.62,55,BRD-K28731095,LKCP001_A549_24H_X3_B40:E21,trt_cp,A549,1.0,23.9525,5293.5,,,LKCP,calcitriol
b34,0.5,0.555556,uM,0.5 uM,24.0,24 h,h,MCF7,BRD-K81332461,MUC.CP008_MCF7_24H_X1_B34,H21,MUC.CP008_MCF7_24H_X1,H21,57,18,7.7,11.09,57,BRD-K81332461,MUC.CP008_MCF7_24H_X1_B34:H21,trt_cp,MCF7,1.0,18.7627,2214.0,,,MUC,maxacalcitol
b41,0.5,0.5,uM,0.5 uM,24.0,24 h,h,MCF7,BRD-K28731095,LKCP001_MCF7_24H_X1_B41,E20,LKCP001_MCF7_24H_X1,E20,90,13,6.9,14.64,54,BRD-K28731095,LKCP001_MCF7_24H_X1_B41:E20,trt_cp,MCF7,1.0,15.7974,4289.0,,,LKCP,calcitriol
b41,0.5,0.5,uM,0.5 uM,24.0,24 h,h,A549,BRD-K28731095,LKCP001_A549_24H_X1.A2_B41,E20,LKCP001_A549_24H_X1.A2,E20,72,14,6.9,12.34,56,BRD-K28731095,LKCP001_A549_24H_X1.A2_B41:E20,trt_cp,A549,1.0,17.1347,5089.0,,,LKCP,calcitriol
b41,0.5,0.5,uM,0.5 uM,24.0,24 h,h,A549,BRD-K28731095,LKCP002_A549_24H_X5_B41,N20,LKCP002_A549_24H_X5,N20,93,12,7.8,12.99,54,BRD-K28731095,LKCP002_A549_24H_X5_B41:N20,trt_cp,A549,1.0,17.6914,4529.0,,,LKCP,calcitriol
b40,0.5,0.5,uM,0.5 uM,24.0,24 h,h,A549,BRD-K28731095,LKCP001_A549_24H_X2_B40,E20,LKCP001_A549_24H_X2,E20,93,12,6.4,12.61,53,BRD-K28731095,LKCP001_A549_24H_X2_B40:E20,trt_cp,A549,1.0,32.2115,5025.0,,,LKCP,calcitriol
b41,0.5,0.5,uM,0.5 uM,24.0,24 h,h,U2OS,BRD-K28731095,LKCP002_U2OS_24H_X2.A2_B41,N20,LKCP002_U2OS_24H_X2.A2,N20,90,13,5.7,11.14,57,BRD-K28731095,LKCP002_U2OS_24H_X2.A2_B41:N20,trt_cp,U2OS,1.0,13.8173,3744.5,,,LKCP,calcitriol
b41,0.05,0.05,uM,0.05 uM,24.0,24 h,h,MCF7,BRD-K28731095,LKCP001_MCF7_24H_X4_B41,E21,LKCP001_MCF7_24H_X4,E21,120,12,7.8,12.88,54,BRD-K28731095,LKCP001_MCF7_24H_X4_B41:E21,trt_cp,MCF7,1.0,15.5567,4387.0,,,LKCP,calcitriol
b41,0.05,0.05,uM,0.05 uM,24.0,24 h,h,MCF7,BRD-K28731095,LKCP002_MCF7_24H_X1_B41,N21,LKCP002_MCF7_24H_X1,N21,80,15,8.4,14.0,55,BRD-K28731095,LKCP002_MCF7_24H_X1_B41:N21,trt_cp,MCF7,1.0,24.0,2040.0,,,LKCP,calcitriol
b34,0.5,0.555556,uM,0.5 uM,24.0,24 h,h,MCF7,BRD-K81332461,MUC.CP008_MCF7_24H_X2_B34,H21,MUC.CP008_MCF7_24H_X2,H21,85,15,6.5,10.77,58,BRD-K81332461,MUC.CP008_MCF7_24H_X2_B34:H21,trt_cp,MCF7,1.0,17.974,2417.5,,,MUC,maxacalcitol
