bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,merge_key
b6,10.0,10.0,uM,10 uM,24 h,24.0,h,MCF7,BRD-K96390176,3,0.33,153,0.227213,0.0,"""""""""""""""""""""""""""""""""",1.74091,1.46882,0.267125,0.562901,10.41,44.5019,1,1,BRD-K96390176,CPD002_MCF7_24H:BRD-K96390176-001-01-1:10,trt_cp,MCF7,K07,CPD002_MCF7_24H_X1_B6_DUO52HI53LO|CPD002_MCF7_24H_X2_B6_DUO52HI53LO|CPD002_MCF7_24H_X3_B6_DUO52HI53LO,CPD002_MCF7_24H_X1_B6_DUO52HI53LO:K07|CPD002_MCF7_24H_X2_B6_DUO52HI53LO:K07|CPD002_MCF7_24H_X3_B6_DUO52HI53LO:K07,,CPD,calcipotriol,1,1.0,0.0,BRD-K96390176_MCF7_24.0
b6,10.0,10.0,uM,10 uM,24 h,24.0,h,PC3,BRD-K96390176,3,0.39,227,0.300868,0.184672,"""""""""""""""""""""""""""""""""",2.01075,0.134409,0.265343,0.624075,18.69,76.3709,1,1,BRD-K96390176,CPD002_PC3_24H:BRD-K96390176-001-01-1:10,trt_cp,PC3,K07,CPD002_PC3_24H_X1_B6_DUO52HI53LO|CPD002_PC3_24H_X2_B6_DUO52HI53LO|CPD002_PC3_24H_X3_B6_DUO52HI53LO,CPD002_PC3_24H_X1_B6_DUO52HI53LO:K07|CPD002_PC3_24H_X2_B6_DUO52HI53LO:K07|CPD002_PC3_24H_X3_B6_DUO52HI53LO:K07,,CPD,calcipotriol,1,1.0,0.0,BRD-K96390176_PC3_24.0
b34,1.11,1.0,uM,1.11 uM,24 h,24.0,h,MCF7,BRD-K27316855,3,0.2744,84,0.153519,0.0675068,"0.30,0.33,0.37",0.13624,6.19515,0.236944,0.470536,9.79,40.9991,1,1,BRD-K27316855,ASG002_MCF7_24H:O08,trt_cp,MCF7,O08,ASG002_MCF7_24H_X1_B34|ASG002_MCF7_24H_X3_B34|ASG002_MCF7_24H_X6_B34,ASG002_MCF7_24H_X1_B34:O08|ASG002_MCF7_24H_X3_B34:O08|ASG002_MCF7_24H_X6_B34:O08,,ASG,calcitriol,0,1.0,0.0,BRD-K27316855_MCF7_24.0
b41,1.11,1.00001,uM,1.11 uM,24 h,24.0,h,MCF7,BRD-K56429665,4,0.3508,68,0.156176,0.0661376,"0.18,0.25,0.29,0.28",0.662779,1.12732,0.276704,0.538595,7.44,28.7683,1,1,BRD-K56429665,ASG003_MCF7_24H:G20,trt_cp,MCF7,G20,ASG003_MCF7_24H_X1_B41|ASG003_MCF7_24H_X2.A2_B41|ASG003_MCF7_24H_X3.A2_B41|ASG003_MCF7_24H_X5_B41,ASG003_MCF7_24H_X1_B41:G20|ASG003_MCF7_24H_X2.A2_B41:G20|ASG003_MCF7_24H_X3.A2_B41:G20|ASG003_MCF7_24H_X5_B41:G20,,ASG,calcipotriol,0,1.0,0.0,BRD-K56429665_MCF7_24.0
b41,1.11,1.00001,uM,1.11 uM,24 h,24.0,h,U2OS,BRD-K56429665,5,0.0948,77,0.0863933,15.4584,"0.23,0.23,0.17,0.19,0.18",48.2838,41.9072,0.000995894,0.144607,14.68,63.9104,0,1,BRD-K56429665,ASG003_U2OS_24H:G20,trt_cp,U2OS,G20,ASG003_U2OS_24H_X1_B41|ASG003_U2OS_24H_X2.A2_B41|ASG003_U2OS_24H_X3_B41|ASG003_U2OS_24H_X4.A2_B41|ASG003_U2OS_24H_X5_B41,ASG003_U2OS_24H_X1_B41:G20|ASG003_U2OS_24H_X2.A2_B41:G20|ASG003_U2OS_24H_X3_B41:G20|ASG003_U2OS_24H_X4.A2_B41:G20|ASG003_U2OS_24H_X5_B41:G20,,ASG,calcipotriol,0,1.0,0.0,BRD-K56429665_U2OS_24.0
b34,1.11,1.0,uM,1.11 uM,24 h,24.0,h,PC3,BRD-K56429665,3,0.3114,253,0.283825,1.12613,"0.36,0.31,0.33",1.06704,1.36139,0.286565,0.535134,9.13,37.7261,1,1,BRD-K56429665,ASG002_PC3_24H:A23,trt_cp,PC3,A23,ASG002_PC3_24H_X1_B34|ASG002_PC3_24H_X2_B34|ASG002_PC3_24H_X6_B38,ASG002_PC3_24H_X1_B34:A23|ASG002_PC3_24H_X2_B34:A23|ASG002_PC3_24H_X6_B38:A23,,ASG,calcipotriol,0,1.0,0.0,BRD-K56429665_PC3_24.0
b34,0.12,0.1,uM,0.12 uM,24 h,24.0,h,A549,BRD-K56429665,3,0.083,201,0.130607,15.6279,"0.26,0.24,0.50",21.0236,25.585,0.0782612,0.279865,7.41,28.6535,0,1,BRD-K56429665,ASG002_A549_24H:A24,trt_cp,A549,A24,ASG002_A549_24H_X1_B34|ASG002_A549_24H_X2_B34|ASG002_A549_24H_X3_B34,ASG002_A549_24H_X1_B34:A24|ASG002_A549_24H_X2_B34:A24|ASG002_A549_24H_X3_B34:A24,,ASG,calcipotriol,0,1.0,0.0,BRD-K56429665_A549_24.0
b34,1.11,1.0,uM,1.11 uM,24 h,24.0,h,PC3,BRD-K27316855,3,0.4318,229,0.317973,0.112613,"0.36,0.34,0.31",0.417827,0.407372,0.381207,0.644301,9.13,37.7261,1,1,BRD-K27316855,ASG002_PC3_24H:O08,trt_cp,PC3,O08,ASG002_PC3_24H_X1_B34|ASG002_PC3_24H_X2_B34|ASG002_PC3_24H_X6_B38,ASG002_PC3_24H_X1_B34:O08|ASG002_PC3_24H_X2_B34:O08|ASG002_PC3_24H_X6_B38:O08,,ASG,calcitriol,0,1.0,0.0,BRD-K27316855_PC3_24.0
b34,0.12,0.1,uM,0.12 uM,24 h,24.0,h,A549,BRD-K27316855,3,0.0375,342,0.114514,28.506,"0.17,0.42,0.42",52.4862,56.6298,-0.00086927,0.0,7.41,28.6535,0,1,BRD-K27316855,ASG002_A549_24H:O09,trt_cp,A549,O09,ASG002_A549_24H_X1_B34|ASG002_A549_24H_X2_B34|ASG002_A549_24H_X3_B34,ASG002_A549_24H_X1_B34:O09|ASG002_A549_24H_X2_B34:O09|ASG002_A549_24H_X3_B34:O09,,ASG,calcitriol,0,1.0,0.0,BRD-K27316855_A549_24.0
b41,10.0,10.0001,uM,10 uM,24 h,24.0,h,MCF7,BRD-K56429665,4,0.4167,122,0.227993,0.0,"0.24,0.25,0.25,0.25",0.0,0.198764,0.398653,0.63852,7.44,28.7683,1,1,BRD-K56429665,ASG003_MCF7_24H:G19,trt_cp,MCF7,G19,ASG003_MCF7_24H_X1_B41|ASG003_MCF7_24H_X2.A2_B41|ASG003_MCF7_24H_X3.A2_B41|ASG003_MCF7_24H_X5_B41,ASG003_MCF7_24H_X1_B41:G19|ASG003_MCF7_24H_X2.A2_B41:G19|ASG003_MCF7_24H_X3.A2_B41:G19|ASG003_MCF7_24H_X5_B41:G19,,ASG,calcipotriol,1,1.0,0.0,BRD-K56429665_MCF7_24.0
b34,0.12,0.1,uM,0.12 uM,24 h,24.0,h,PC3,BRD-K27316855,3,0.3963,184,0.273056,0.45045,"0.34,0.33,0.32",0.531915,0.532984,0.378388,0.653224,9.13,37.7261,1,1,BRD-K27316855,ASG002_PC3_24H:O09,trt_cp,PC3,O09,ASG002_PC3_24H_X1_B34|ASG002_PC3_24H_X2_B34|ASG002_PC3_24H_X6_B38,ASG002_PC3_24H_X1_B34:O09|ASG002_PC3_24H_X2_B34:O09|ASG002_PC3_24H_X6_B38:O09,,ASG,calcitriol,0,1.0,0.0,BRD-K27316855_PC3_24.0
