term,ES,pval,set_size,leading_edge_frac,fdr_bh
HALLMARK_E2F_TARGETS,0.4660543998715782,0.0024937655860349127,186,0.521505376344086,0.007793017456359102
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.4480695715153347,0.0024937655860349127,109,0.3394495412844037,0.007793017456359102
HALLMARK_G2M_CHECKPOINT,0.38316652392469747,0.0024937655860349127,193,0.33678756476683935,0.007793017456359102
HALLMARK_MTORC1_SIGNALING,0.3307674598894357,0.0024937655860349127,195,0.27692307692307694,0.007793017456359102
HALLMARK_MYC_TARGETS_V1,0.3139445903815699,0.0024937655860349127,194,0.29896907216494845,0.007793017456359102
HALLMARK_GLYCOLYSIS,0.2629505927258714,0.0024937655860349127,186,0.1935483870967742,0.007793017456359102
HALLMARK_BILE_ACID_METABOLISM,0.2545294894265684,0.0024937655860349127,101,0.16831683168316833,0.007793017456359102
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.2502730890725768,0.0024937655860349127,198,0.21212121212121213,0.007793017456359102
HALLMARK_UV_RESPONSE_DN,0.24315891376443383,0.0024937655860349127,143,0.17482517482517482,0.007793017456359102
HALLMARK_KRAS_SIGNALING_UP,0.24028330692486824,0.0024937655860349127,195,0.046153846153846156,0.007793017456359102
HALLMARK_ANDROGEN_RESPONSE,0.23314010119102316,0.0024937655860349127,99,0.12121212121212122,0.007793017456359102
HALLMARK_ESTROGEN_RESPONSE_LATE,0.2297215728889287,0.0024937655860349127,197,0.23857868020304568,0.007793017456359102
HALLMARK_SPERMATOGENESIS,0.22593301672809718,0.0024937655860349127,122,0.09836065573770492,0.007793017456359102
HALLMARK_XENOBIOTIC_METABOLISM,0.21748773718563513,0.0024937655860349127,188,0.14893617021276595,0.007793017456359102
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.1935177165771543,0.0024937655860349127,196,0.19387755102040816,0.007793017456359102
HALLMARK_HYPOXIA,0.18892857044950226,0.0024937655860349127,193,0.14507772020725387,0.007793017456359102
HALLMARK_MITOTIC_SPINDLE,0.17099292019879914,0.004987531172069825,179,0.1564245810055866,0.014669209329617133
HALLMARK_ADIPOGENESIS,0.19492115454833586,0.007481296758104738,176,0.17613636363636365,0.019687623047644046
HALLMARK_IL2_STAT5_SIGNALING,0.1577779725972537,0.007481296758104738,177,0.14124293785310735,0.019687623047644046
HALLMARK_APICAL_SURFACE,0.38645941212823315,0.00997506234413965,34,0.17647058823529413,0.024937655860349125
HALLMARK_PEROXISOME,0.16959997952861997,0.014962593516209476,98,0.09183673469387756,0.03562522265764161
HALLMARK_MYC_TARGETS_V2,0.4148608792906998,0.04488778054862843,56,0.5714285714285714,0.10201768306506462
HALLMARK_NOTCH_SIGNALING,0.32719378840845326,0.04987531172069826,28,0.17857142857142858,0.10842459069717011
HALLMARK_APICAL_JUNCTION,0.16022823466105388,0.07231920199501247,180,0.12222222222222222,0.15066500415627598
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.1432191535326605,0.10473815461346633,102,0.30392156862745096,0.20947630922693267
HALLMARK_COAGULATION,0.15126930074298275,0.1745635910224439,134,0.12686567164179105,0.31617385108656926
HALLMARK_FATTY_ACID_METABOLISM,0.1418336327076142,0.1770573566084788,143,0.23076923076923078,0.31617385108656926
HALLMARK_ALLOGRAFT_REJECTION,0.12417983063542791,0.16957605985037408,196,0.11734693877551021,0.31617385108656926
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.11305734216693136,0.2743142144638404,199,0.19095477386934673,0.47295554217903524
HALLMARK_MYOGENESIS,0.13304349159150758,0.3740648379052369,193,0.05699481865284974,0.6234413965087282
HALLMARK_ANGIOGENESIS,0.1722884118924759,0.5610972568578554,36,0.2222222222222222,0.8961970074812968
HALLMARK_UV_RESPONSE_UP,0.13571153156239651,0.57356608478803,156,0.09615384615384616,0.8961970074812968
HALLMARK_HEDGEHOG_SIGNALING,0.16741360981297274,0.7506234413965087,36,0.5,1.0
HALLMARK_HEME_METABOLISM,0.13529966977803123,0.9152119700748129,195,0.09230769230769231,1.0
HALLMARK_DNA_REPAIR,0.1220142320465789,0.8154613466334164,139,0.08633093525179857,1.0
HALLMARK_P53_PATHWAY,0.12175094634120283,1.0,196,0.05612244897959184,1.0
HALLMARK_APOPTOSIS,0.12065750735360424,0.7680798004987531,158,0.10759493670886076,1.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.11649845527282324,1.0,198,0.0707070707070707,1.0
HALLMARK_COMPLEMENT,0.11382355855861488,0.8653366583541147,187,0.10695187165775401,1.0
HALLMARK_PANCREAS_BETA_CELLS,0.09794752009175353,0.9975062344139651,40,0.05,1.0
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.09674649162957777,1.0,60,0.1,1.0
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0952311153813914,1.0,178,0.028089887640449437,1.0
HALLMARK_INFLAMMATORY_RESPONSE,0.0836609698096641,0.9925187032418953,194,0.05670103092783505,1.0
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.07051766014220882,1.0,83,0.04819277108433735,1.0
HALLMARK_TGF_BETA_SIGNALING,0.06361528223756333,1.0,52,0.1346153846153846,1.0
HALLMARK_PROTEIN_SECRETION,0.05877649856883456,1.0,95,0.08421052631578947,1.0
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.026855468750023058,1.0,39,1.0,1.0
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.02142867481111973,1.0,46,0.021739130434782608,1.0
HALLMARK_KRAS_SIGNALING_DN,0.010135970333751076,1.0,192,1.0,1.0
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0062908496732058325,1.0,87,1.0,1.0
