term,ES,pval,set_size,leading_edge_frac,fdr_bh
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.43168305738208634,0.0024937655860349127,198,0.4090909090909091,0.005195344970906068
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.4269372758925634,0.0024937655860349127,109,0.1651376146788991,0.005195344970906068
HALLMARK_UV_RESPONSE_DN,0.41966217771193276,0.0024937655860349127,143,0.2867132867132867,0.005195344970906068
HALLMARK_MTORC1_SIGNALING,0.3775448997162417,0.0024937655860349127,195,0.3333333333333333,0.005195344970906068
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.37445472254760576,0.0024937655860349127,198,0.29797979797979796,0.005195344970906068
HALLMARK_MYOGENESIS,0.35827725742574545,0.0024937655860349127,193,0.38341968911917096,0.005195344970906068
HALLMARK_ESTROGEN_RESPONSE_LATE,0.3401948507521834,0.0024937655860349127,197,0.16243654822335024,0.005195344970906068
HALLMARK_XENOBIOTIC_METABOLISM,0.3318057308196521,0.0024937655860349127,188,0.2978723404255319,0.005195344970906068
HALLMARK_HYPOXIA,0.3278302694476705,0.0024937655860349127,193,0.19170984455958548,0.005195344970906068
HALLMARK_KRAS_SIGNALING_UP,0.3178098327359773,0.0024937655860349127,195,0.14358974358974358,0.005195344970906068
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.3054099212192254,0.0024937655860349127,196,0.19387755102040816,0.005195344970906068
HALLMARK_APICAL_JUNCTION,0.295385844328129,0.0024937655860349127,180,0.15555555555555556,0.005195344970906068
HALLMARK_IL2_STAT5_SIGNALING,0.288049122323988,0.0024937655860349127,177,0.2711864406779661,0.005195344970906068
HALLMARK_UV_RESPONSE_UP,0.2858746272451501,0.0024937655860349127,156,0.2692307692307692,0.005195344970906068
HALLMARK_GLYCOLYSIS,0.2737140472962101,0.0024937655860349127,186,0.15053763440860216,0.005195344970906068
HALLMARK_P53_PATHWAY,0.2728114890879211,0.0024937655860349127,196,0.25510204081632654,0.005195344970906068
HALLMARK_INFLAMMATORY_RESPONSE,0.251350813120527,0.0024937655860349127,194,0.20618556701030927,0.005195344970906068
HALLMARK_ADIPOGENESIS,0.24209302803744936,0.0024937655860349127,176,0.1875,0.005195344970906068
HALLMARK_G2M_CHECKPOINT,0.23697888919582336,0.0024937655860349127,193,0.25906735751295334,0.005195344970906068
HALLMARK_MITOTIC_SPINDLE,0.22842928811888225,0.0024937655860349127,179,0.13966480446927373,0.005195344970906068
HALLMARK_COMPLEMENT,0.20229500143567775,0.0024937655860349127,187,0.24598930481283424,0.005195344970906068
HALLMARK_ALLOGRAFT_REJECTION,0.1775515445897082,0.0024937655860349127,196,0.12244897959183673,0.005195344970906068
HALLMARK_APOPTOSIS,0.1773099232718438,0.0024937655860349127,158,0.10759493670886076,0.005195344970906068
HALLMARK_HEME_METABOLISM,0.16413420983042049,0.0024937655860349127,195,0.15897435897435896,0.005195344970906068
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.42336858702384284,0.004987531172069825,46,0.2826086956521739,0.008599191675982458
HALLMARK_APICAL_SURFACE,0.3844509521044769,0.004987531172069825,34,0.2647058823529412,0.008599191675982458
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.25853586000234385,0.004987531172069825,102,0.16666666666666666,0.008599191675982458
HALLMARK_E2F_TARGETS,0.1867946994511434,0.004987531172069825,186,0.20967741935483872,0.008599191675982458
HALLMARK_SPERMATOGENESIS,0.1616014265830223,0.004987531172069825,122,0.16393442622950818,0.008599191675982458
HALLMARK_ANGIOGENESIS,0.29293373717620763,0.007481296758104738,36,0.08333333333333333,0.011335298118340512
HALLMARK_ANDROGEN_RESPONSE,0.29010203773537374,0.007481296758104738,99,0.26262626262626265,0.011335298118340512
