term,ES,pval,set_size,leading_edge_frac,fdr_bh
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.5130195181987622,0.0024937655860349127,198,0.3282828282828283,0.005667649059170256
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.4796072873579657,0.0024937655860349127,60,0.2,0.005667649059170256
HALLMARK_TGF_BETA_SIGNALING,0.46569050706488685,0.0024937655860349127,52,0.38461538461538464,0.005667649059170256
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.45777305322967315,0.0024937655860349127,198,0.2777777777777778,0.005667649059170256
HALLMARK_ESTROGEN_RESPONSE_LATE,0.42592716655337787,0.0024937655860349127,197,0.3197969543147208,0.005667649059170256
HALLMARK_UV_RESPONSE_DN,0.4211125925682658,0.0024937655860349127,143,0.3006993006993007,0.005667649059170256
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.4032022043152197,0.0024937655860349127,109,0.1926605504587156,0.005667649059170256
HALLMARK_HYPOXIA,0.3812457488713311,0.0024937655860349127,193,0.31088082901554404,0.005667649059170256
HALLMARK_XENOBIOTIC_METABOLISM,0.37221715124527804,0.0024937655860349127,188,0.2978723404255319,0.005667649059170256
HALLMARK_MTORC1_SIGNALING,0.36401809602365254,0.0024937655860349127,195,0.2512820512820513,0.005667649059170256
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.36088666894149324,0.0024937655860349127,196,0.2755102040816326,0.005667649059170256
HALLMARK_FATTY_ACID_METABOLISM,0.3565905278813769,0.0024937655860349127,143,0.3006993006993007,0.005667649059170256
HALLMARK_ADIPOGENESIS,0.35142740309222315,0.0024937655860349127,176,0.4034090909090909,0.005667649059170256
HALLMARK_MYOGENESIS,0.3499399790349088,0.0024937655860349127,193,0.21761658031088082,0.005667649059170256
HALLMARK_GLYCOLYSIS,0.34890979599178545,0.0024937655860349127,186,0.27956989247311825,0.005667649059170256
HALLMARK_UV_RESPONSE_UP,0.3155949659631175,0.0024937655860349127,156,0.17307692307692307,0.005667649059170256
HALLMARK_KRAS_SIGNALING_UP,0.27979632762474216,0.0024937655860349127,195,0.2153846153846154,0.005667649059170256
HALLMARK_APICAL_JUNCTION,0.2745256069386275,0.0024937655860349127,180,0.13333333333333333,0.005667649059170256
HALLMARK_P53_PATHWAY,0.2709390962005659,0.0024937655860349127,196,0.18877551020408162,0.005667649059170256
HALLMARK_IL2_STAT5_SIGNALING,0.26729445838268445,0.0024937655860349127,177,0.22598870056497175,0.005667649059170256
HALLMARK_INFLAMMATORY_RESPONSE,0.265292849894863,0.0024937655860349127,194,0.20103092783505155,0.005667649059170256
HALLMARK_MITOTIC_SPINDLE,0.21512805423309445,0.0024937655860349127,179,0.2011173184357542,0.005667649059170256
HALLMARK_COMPLEMENT,0.24867336251172661,0.004987531172069825,187,0.33689839572192515,0.010390689941812137
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.1831565606112014,0.004987531172069825,178,0.15730337078651685,0.010390689941812137
HALLMARK_HEME_METABOLISM,0.19654801280640816,0.007481296758104738,195,0.23076923076923078,0.014962593516209476
HALLMARK_BILE_ACID_METABOLISM,0.28029133807263246,0.00997506234413965,101,0.18811881188118812,0.018472337674332685
HALLMARK_APOPTOSIS,0.20691739597714423,0.00997506234413965,158,0.20253164556962025,0.018472337674332685
HALLMARK_PEROXISOME,0.2655030930651672,0.012468827930174564,98,0.1836734693877551,0.021497979189956145
HALLMARK_G2M_CHECKPOINT,0.1586378975524815,0.012468827930174564,193,0.13471502590673576,0.021497979189956145
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.3433083026929139,0.014962593516209476,46,0.30434782608695654,0.02413321534872496
