term,ES,pval,set_size,leading_edge_frac,fdr_bh
HALLMARK_MYOGENESIS,0.582549363071128,0.0024937655860349127,193,0.5129533678756477,0.005421229534858505
HALLMARK_HYPOXIA,0.5417785132207331,0.0024937655860349127,193,0.39896373056994816,0.005421229534858505
HALLMARK_APICAL_JUNCTION,0.5238661924451847,0.0024937655860349127,180,0.4888888888888889,0.005421229534858505
HALLMARK_TGF_BETA_SIGNALING,0.5198881795579413,0.0024937655860349127,52,0.4423076923076923,0.005421229534858505
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.5029404826585613,0.0024937655860349127,196,0.40816326530612246,0.005421229534858505
HALLMARK_UV_RESPONSE_DN,0.49658403861926775,0.0024937655860349127,143,0.3076923076923077,0.005421229534858505
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.4739068302209875,0.0024937655860349127,46,0.32608695652173914,0.005421229534858505
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.4662777895243976,0.0024937655860349127,198,0.35353535353535354,0.005421229534858505
HALLMARK_KRAS_SIGNALING_UP,0.4537438422241681,0.0024937655860349127,195,0.2358974358974359,0.005421229534858505
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.4283312884001893,0.0024937655860349127,87,0.3103448275862069,0.005421229534858505
HALLMARK_GLYCOLYSIS,0.4104914005148353,0.0024937655860349127,186,0.24193548387096775,0.005421229534858505
HALLMARK_INFLAMMATORY_RESPONSE,0.3927100422609372,0.0024937655860349127,194,0.29381443298969073,0.005421229534858505
HALLMARK_APOPTOSIS,0.3834850227757569,0.0024937655860349127,158,0.21518987341772153,0.005421229534858505
HALLMARK_COAGULATION,0.3825597256901229,0.0024937655860349127,134,0.34328358208955223,0.005421229534858505
HALLMARK_P53_PATHWAY,0.38100427642529044,0.0024937655860349127,196,0.34183673469387754,0.005421229534858505
HALLMARK_COMPLEMENT,0.37237705215674066,0.0024937655860349127,187,0.37433155080213903,0.005421229534858505
HALLMARK_MITOTIC_SPINDLE,0.35449247810308804,0.0024937655860349127,179,0.3463687150837989,0.005421229534858505
