term,ES,pval,set_size,leading_edge_frac,fdr_bh
HALLMARK_MYC_TARGETS_V2,0.6092623229559793,0.0024937655860349127,56,0.5357142857142857,0.006562541015881349
HALLMARK_E2F_TARGETS,0.47881445742457257,0.0024937655860349127,186,0.510752688172043,0.006562541015881349
HALLMARK_G2M_CHECKPOINT,0.4237253363409794,0.0024937655860349127,193,0.45595854922279794,0.006562541015881349
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.4142231245489291,0.0024937655860349127,109,0.3394495412844037,0.006562541015881349
HALLMARK_MYC_TARGETS_V1,0.3744198644744852,0.0024937655860349127,194,0.38144329896907214,0.006562541015881349
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.3522070271250737,0.0024937655860349127,39,0.358974358974359,0.006562541015881349
HALLMARK_SPERMATOGENESIS,0.3085137296362593,0.0024937655860349127,122,0.4672131147540984,0.006562541015881349
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.28073324854821047,0.0024937655860349127,87,0.20689655172413793,0.006562541015881349
HALLMARK_MTORC1_SIGNALING,0.26658424656199986,0.0024937655860349127,195,0.24615384615384617,0.006562541015881349
HALLMARK_ESTROGEN_RESPONSE_LATE,0.25050848298171846,0.0024937655860349127,197,0.14720812182741116,0.006562541015881349
HALLMARK_INFLAMMATORY_RESPONSE,0.22637864563903487,0.0024937655860349127,194,0.18556701030927836,0.006562541015881349
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.2174084497576951,0.0024937655860349127,102,0.19607843137254902,0.006562541015881349
HALLMARK_MITOTIC_SPINDLE,0.2138987613781308,0.0024937655860349127,179,0.3575418994413408,0.006562541015881349
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.21221821873575986,0.0024937655860349127,198,0.15656565656565657,0.006562541015881349
HALLMARK_KRAS_SIGNALING_UP,0.1995260720553184,0.0024937655860349127,195,0.18974358974358974,0.006562541015881349
HALLMARK_ADIPOGENESIS,0.19822393916975195,0.0024937655860349127,176,0.1875,0.006562541015881349
HALLMARK_DNA_REPAIR,0.1972429262617899,0.0024937655860349127,139,0.2517985611510791,0.006562541015881349
HALLMARK_ALLOGRAFT_REJECTION,0.18549203699533157,0.0024937655860349127,196,0.29591836734693877,0.006562541015881349
HALLMARK_XENOBIOTIC_METABOLISM,0.16703430471718705,0.0024937655860349127,188,0.14361702127659576,0.006562541015881349
HALLMARK_UV_RESPONSE_DN,0.21268537827417933,0.004987531172069825,143,0.17482517482517482,0.012468827930174562
HALLMARK_BILE_ACID_METABOLISM,0.2311806668132068,0.007481296758104738,101,0.19801980198019803,0.017812611328820806
HALLMARK_GLYCOLYSIS,0.1553617682713619,0.00997506234413965,186,0.10215053763440861,0.022670596236681023
HALLMARK_NOTCH_SIGNALING,0.3541549651262941,0.012468827930174564,28,0.32142857142857145,0.02710614767429253
HALLMARK_IL2_STAT5_SIGNALING,0.1939543494885354,0.014962593516209476,177,0.07344632768361582,0.03117206982543641
HALLMARK_P53_PATHWAY,0.18562131135315066,0.04239401496259352,196,0.1377551020408163,0.08478802992518704
HALLMARK_ANGIOGENESIS,0.2716616276724626,0.20698254364089774,36,0.16666666666666666,0.36961168507303166
HALLMARK_APICAL_SURFACE,0.2172668717273623,0.1970074812967581,34,0.2647058823529412,0.36961168507303166
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.20077790087559497,0.20199501246882792,46,0.17391304347826086,0.36961168507303166
HALLMARK_FATTY_ACID_METABOLISM,0.11927311394916931,0.35910224438902744,143,0.2097902097902098,0.619141800670737
HALLMARK_HEDGEHOG_SIGNALING,0.16043059342646285,0.4314214463840399,36,0.1388888888888889,0.7190357439733999
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.14447208333961953,0.600997506234414,178,0.15168539325842698,0.9693508165071193
HALLMARK_UV_RESPONSE_UP,0.08934735204490851,0.6209476309226932,156,0.14743589743589744,0.9702306733167082
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.1523352605269906,0.9152119700748129,196,0.10204081632653061,1.0
HALLMARK_PEROXISOME,0.14081788940450718,0.9675810473815462,98,0.19387755102040816,1.0
HALLMARK_HYPOXIA,0.11044841678006727,1.0,193,0.08808290155440414,1.0
HALLMARK_APICAL_JUNCTION,0.1012192447206576,0.9825436408977556,180,0.07222222222222222,1.0
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.10060908339309355,1.0,83,0.0963855421686747,1.0
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.09734863514648374,1.0,60,0.06666666666666667,1.0
HALLMARK_COMPLEMENT,0.09318524010238666,0.9027431421446384,187,0.0427807486631016,1.0
HALLMARK_TGF_BETA_SIGNALING,0.090802218773028,0.9975062344139651,52,0.07692307692307693,1.0
HALLMARK_PANCREAS_BETA_CELLS,0.08749084398143285,1.0,40,1.0,1.0
HALLMARK_ANDROGEN_RESPONSE,0.0776346548491191,1.0,99,0.04040404040404041,1.0
HALLMARK_KRAS_SIGNALING_DN,0.07591118427772281,0.8054862842892768,192,0.296875,1.0
HALLMARK_MYOGENESIS,0.07346864812178894,1.0,193,0.03626943005181347,1.0
HALLMARK_PROTEIN_SECRETION,0.07111274111905803,1.0,95,0.1368421052631579,1.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.06486140877758163,1.0,198,0.025252525252525252,1.0
HALLMARK_APOPTOSIS,0.06148784219762744,1.0,158,0.14556962025316456,1.0
HALLMARK_HEME_METABOLISM,0.029432262265891726,1.0,195,0.03076923076923077,1.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.027136387673219305,1.0,199,0.12060301507537688,1.0
HALLMARK_COAGULATION,1.0078049506034858e-13,1.0,134,1.0,1.0
