term,ES,pval,set_size,leading_edge_frac,fdr_bh
REACTOME_MEIOTIC_RECOMBINATION,0.6824192607973457,0.0024937655860349127,24,0.5416666666666666,0.031547636931766966
REACTOME_FORMATION_OF_THE_POLYBROMO_BAF_PBAF_COMPLEX,0.6791840985344864,0.0024937655860349127,17,0.35294117647058826,0.031547636931766966
REACTOME_GLUCONEOGENESIS,0.6703669155620517,0.0024937655860349127,22,0.2727272727272727,0.031547636931766966
REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE,0.6641499118412814,0.0024937655860349127,39,0.5128205128205128,0.031547636931766966
REACTOME_RMTS_METHYLATE_HISTONE_ARGININES,0.6039518212124788,0.0024937655860349127,25,0.52,0.031547636931766966
REACTOME_EPHRIN_SIGNALING,0.5926277744084429,0.0024937655860349127,19,0.3157894736842105,0.031547636931766966
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE,0.5898058364392695,0.0024937655860349127,22,0.5909090909090909,0.031547636931766966
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN,0.5819740786171604,0.0024937655860349127,16,0.125,0.031547636931766966
REACTOME_LDL_CLEARANCE,0.5819377900920266,0.0024937655860349127,16,0.125,0.031547636931766966
REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR,0.5618309490585084,0.0024937655860349127,56,0.44642857142857145,0.031547636931766966
REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES,0.5587821915463662,0.0024937655860349127,35,0.45714285714285713,0.031547636931766966
REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS,0.5550097093529717,0.0024937655860349127,56,0.5178571428571429,0.031547636931766966
REACTOME_REGULATION_OF_KIT_SIGNALING,0.5519066522016098,0.0024937655860349127,16,0.25,0.031547636931766966
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,0.5393790928371118,0.0024937655860349127,34,0.4117647058823529,0.031547636931766966
REACTOME_FORMATION_OF_THE_NON_CANONICAL_BAF_NCBAF_COMPLEX,0.5371895549515154,0.0024937655860349127,17,0.4117647058823529,0.031547636931766966
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,0.5299029228726382,0.0024937655860349127,55,0.4727272727272727,0.031547636931766966
REACTOME_BASE_EXCISION_REPAIR,0.5268479649301215,0.0024937655860349127,42,0.42857142857142855,0.031547636931766966
REACTOME_HOMOLOGY_DIRECTED_REPAIR,0.5139764207782296,0.0024937655860349127,89,0.48314606741573035,0.031547636931766966
REACTOME_SIGNALING_BY_KIT_IN_DISEASE,0.4881939530381109,0.0024937655860349127,20,0.25,0.031547636931766966
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,0.47988495000448245,0.0024937655860349127,29,0.1724137931034483,0.031547636931766966
REACTOME_ATP_DEPENDENT_CHROMATIN_REMODELERS,0.4783498197343528,0.0024937655860349127,29,0.41379310344827586,0.031547636931766966
REACTOME_SIGNALING_BY_SCF_KIT,0.45834092601400606,0.0024937655860349127,43,0.18604651162790697,0.031547636931766966
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS,0.4567094876668619,0.0024937655860349127,23,0.30434782608695654,0.031547636931766966
REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS,0.4535533085542158,0.0024937655860349127,45,0.2,0.031547636931766966
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING,0.4502391911064087,0.0024937655860349127,23,0.13043478260869565,0.031547636931766966
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION,0.4303422647173843,0.0024937655860349127,28,0.10714285714285714,0.031547636931766966
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL,0.42477080761893427,0.0024937655860349127,21,0.23809523809523808,0.031547636931766966
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,0.4245105798611405,0.0024937655860349127,119,0.3949579831932773,0.031547636931766966
REACTOME_DAP12_SIGNALING,0.4135035230804873,0.0024937655860349127,27,0.14814814814814814,0.031547636931766966
REACTOME_TRNA_PROCESSING_IN_THE_NUCLEUS,0.4130704474474112,0.0024937655860349127,48,0.3333333333333333,0.031547636931766966
REACTOME_TRNA_PROCESSING,0.41034065134781733,0.0024937655860349127,84,0.30952380952380953,0.031547636931766966
REACTOME_GLUCOSE_METABOLISM,0.4013866260096031,0.0024937655860349127,75,0.24,0.031547636931766966
REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE,0.3905765340679354,0.0024937655860349127,33,0.21212121212121213,0.031547636931766966
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION,0.38650441145695147,0.0024937655860349127,31,0.0967741935483871,0.031547636931766966
REACTOME_REPRODUCTION,0.3864394517438257,0.0024937655860349127,71,0.29577464788732394,0.031547636931766966
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES,0.3845404239963607,0.0024937655860349127,37,0.16216216216216217,0.031547636931766966
REACTOME_METABOLISM_OF_NUCLEOTIDES,0.37596893458281266,0.0024937655860349127,78,0.4230769230769231,0.031547636931766966
REACTOME_CO_STIMULATION_BY_CD28,0.37207164051428093,0.0024937655860349127,44,0.1590909090909091,0.031547636931766966
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,0.36852927860042406,0.0024937655860349127,30,0.23333333333333334,0.031547636931766966
REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY,0.3673216217192546,0.0024937655860349127,64,0.15625,0.031547636931766966
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_PHOSPHORYLATION,0.36695604307539226,0.0024937655860349127,83,0.25301204819277107,0.031547636931766966
REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING,0.3665778487997509,0.0024937655860349127,41,0.12195121951219512,0.031547636931766966
REACTOME_REGULATION_OF_TP53_ACTIVITY,0.36427653113602565,0.0024937655860349127,141,0.28368794326241137,0.031547636931766966
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,0.35957461259905027,0.0024937655860349127,33,0.09090909090909091,0.031547636931766966
REACTOME_DNA_REPAIR,0.3467929852511976,0.0024937655860349127,243,0.3333333333333333,0.031547636931766966
REACTOME_SUMOYLATION,0.3332781358822528,0.0024937655860349127,160,0.30625,0.031547636931766966
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,0.32835719918743195,0.0024937655860349127,76,0.34210526315789475,0.031547636931766966
REACTOME_SIGNALING_BY_PTK6,0.327772241274915,0.0024937655860349127,49,0.24489795918367346,0.031547636931766966
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,0.327004067266113,0.0024937655860349127,133,0.2932330827067669,0.031547636931766966
REACTOME_EPH_EPHRIN_SIGNALING,0.31312068814432803,0.0024937655860349127,85,0.16470588235294117,0.031547636931766966
REACTOME_FORMATION_OF_THE_DYSTROPHIN_GLYCOPROTEIN_COMPLEX_DGC,0.31160542571307454,0.0024937655860349127,34,0.11764705882352941,0.031547636931766966
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,0.3074283157759665,0.0024937655860349127,56,0.17857142857142858,0.031547636931766966
