term,ES,pval,set_size,leading_edge_frac,fdr_bh
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS,0.6678338885152599,0.0024937655860349127,15,0.4666666666666667,0.03491271820448878
REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION,0.6021916925797517,0.0024937655860349127,20,0.2,0.03491271820448878
REACTOME_TURBULENT_OSCILLATORY_DISTURBED_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_INTEGRINS_IN_ENDOTHELIAL_CELLS,0.5638210026233476,0.0024937655860349127,30,0.23333333333333334,0.03491271820448878
REACTOME_DISEASES_OF_IMMUNE_SYSTEM,0.562015066751783,0.0024937655860349127,29,0.20689655172413793,0.03491271820448878
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,0.5338671842154009,0.0024937655860349127,23,0.2608695652173913,0.03491271820448878
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,0.53295148256212,0.0024937655860349127,16,0.125,0.03491271820448878
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE,0.5263667728047683,0.0024937655860349127,16,0.125,0.03491271820448878
REACTOME_NGF_STIMULATED_TRANSCRIPTION,0.47736097236663305,0.0024937655860349127,39,0.3076923076923077,0.03491271820448878
REACTOME_RHO_GTPASES_ACTIVATE_PAKS,0.4731828366070492,0.0024937655860349127,20,0.3,0.03491271820448878
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS,0.45879165657322973,0.0024937655860349127,30,0.26666666666666666,0.03491271820448878
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION,0.45657836169168076,0.0024937655860349127,61,0.2786885245901639,0.03491271820448878
REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES,0.4431959972396291,0.0024937655860349127,33,0.12121212121212122,0.03491271820448878
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS,0.4281815305495943,0.0024937655860349127,38,0.34210526315789475,0.03491271820448878
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,0.4011623823892446,0.0024937655860349127,44,0.36363636363636365,0.03491271820448878
REACTOME_FORMATION_OF_THE_DYSTROPHIN_GLYCOPROTEIN_COMPLEX_DGC,0.3993687164627912,0.0024937655860349127,34,0.20588235294117646,0.03491271820448878
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,0.38395366568255385,0.0024937655860349127,58,0.3448275862068966,0.03491271820448878
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,0.3828159800211711,0.0024937655860349127,68,0.19117647058823528,0.03491271820448878
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,0.38212628058439296,0.0024937655860349127,100,0.21,0.03491271820448878
REACTOME_MYOGENESIS,0.37873235741158306,0.0024937655860349127,26,0.11538461538461539,0.03491271820448878
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,0.3705744907429463,0.0024937655860349127,104,0.23076923076923078,0.03491271820448878
REACTOME_CELLULAR_RESPONSES_TO_MECHANICAL_STIMULI,0.36801710231832163,0.0024937655860349127,92,0.16304347826086957,0.03491271820448878
REACTOME_REGULATION_OF_INSULIN_SECRETION,0.3557831935992673,0.0024937655860349127,71,0.15492957746478872,0.03491271820448878
REACTOME_METABOLISM_OF_STEROIDS,0.35533037852633553,0.0024937655860349127,137,0.24817518248175183,0.03491271820448878
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE,0.3456765391487035,0.0024937655860349127,98,0.17346938775510204,0.03491271820448878
REACTOME_SIGNALING_BY_NTRKS,0.34526230774512495,0.0024937655860349127,129,0.3178294573643411,0.03491271820448878
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,0.34390033549551785,0.0024937655860349127,53,0.09433962264150944,0.03491271820448878
REACTOME_FATTY_ACID_METABOLISM,0.34035829383116745,0.0024937655860349127,141,0.3191489361702128,0.03491271820448878
REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,0.3400204183304352,0.0024937655860349127,150,0.2733333333333333,0.03491271820448878
REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE,0.33736898127654374,0.0024937655860349127,103,0.1941747572815534,0.03491271820448878
REACTOME_TP53_REGULATES_METABOLIC_GENES,0.3365751997926119,0.0024937655860349127,64,0.109375,0.03491271820448878
