analysis_family,analysis_type,feature,hallmark,reference_group,comparator_group,n_reference,n_comparator,n_iterations,matched_n_per_iteration,mean_reference,mean_comparator,mean_difference,mean_difference_ci025,mean_difference_ci975,median_reference,median_comparator,median_difference,median_difference_ci025,median_difference_ci975,cliffs_delta,hedges_g,mannwhitney_p,mannwhitney_fdr,welch_p,welch_fdr,empirical_p_mean_one_sided,empirical_p_mean_fdr,empirical_p_median_one_sided,empirical_p_median_fdr,n_cell_lines,n_positive_mean_difference,n_positive_median_difference,n_comparisons,n_higher_by_mean,n_higher_by_median,n_mean_fdr_significant,n_median_fdr_significant,vitamin_d_higher_than_both_by_mean,vitamin_d_higher_than_both_by_median,vitamin_d_mean_fdr_significant_vs_both,vitamin_d_median_fdr_significant_vs_both,welch_t,mannwhitney_u,vitd_mean,mean_comparator_matched_mean,vitd_median,mean_comparator_matched_median,min_mean_difference,max_mean_difference,min_median_difference,max_median_difference,vitamin_d_vs_comparator,vitamin_d_higher_by_mean,vitamin_d_higher_by_median
fixed_core_score,global_unmatched,fixed_core_score,,vitamin_D_related,unrelated_comparator,258.0,96326.0,,,2.0492026460527164,0.6315144179161448,1.4176882281365715,,,2.0941789555550754,0.5891803511901035,1.504998604364972,,,0.8868726145886698,2.69614697416393,4.658554705708222e-134,1.3975664117124668e-133,9.624204211700428e-96,2.8872612635101284e-95,,,,,,,,,,,,,,,,,33.43936118724316,23446381.0,,,,,,,,,,,
fixed_core_score,global_unmatched,fixed_core_score,,vitamin_D_related,nuclear_receptor_comparator,258.0,4016.0,,,2.0492026460527164,0.7010388154765373,1.348163830576179,,,2.0941789555550754,0.6541699213969632,1.4400090341581122,,,0.8640804997066001,2.4319952223808277,4.4495410609185856e-120,6.674311591377878e-120,7.173480874964106e-93,1.0760221312446159e-92,,,,,,,,,,,,,,,,,31.188229483212535,965713.0,,,,,,,,,,,
fixed_core_score,global_unmatched,fixed_core_score,,nuclear_receptor_comparator,unrelated_comparator,4016.0,96326.0,,,0.7010388154765373,0.6315144179161448,0.06952439756039253,,,0.6541699213969632,0.5891803511901035,0.06498957020685969,,,0.07368708419028236,0.13213684084482458,2.2889169648310255e-15,2.2889169648310255e-15,2.7767093208897328e-15,2.7767093208897328e-15,,,,,,,,,,,,,,,,,7.9295598459409184,207675356.0,,,,,,,,,,,
fixed_core_score,cell_line_matched_resampling,fixed_core_score,,vitamin_D_related,nuclear_receptor_comparator,,,5000.0,258.0,,,1.3424216965116837,1.278396704938494,1.404746956165847,,,1.4345342574158537,1.360509450824517,1.5081240669501104,,,,,,,0.0001999600079984003,,0.0001999600079984003,,,,,,,,,,,,,,,,2.0492026460527164,0.7067809495410328,2.0941789555550754,0.6596446981392216,,,,,,,
fixed_core_score,cell_line_matched_resampling,fixed_core_score,,vitamin_D_related,unrelated_comparator,,,5000.0,258.0,,,1.419741642142491,1.356631847863571,1.4834621158274048,,,1.5047335721175041,1.4312960460032806,1.575750201205049,,,,,,,0.0001999600079984003,,0.0001999600079984003,,,,,,,,,,,,,,,,2.0492026460527164,0.6294610039102252,2.0941789555550754,0.5894453834375712,,,,,,,
fixed_core_score,cell_line_stratified_directionality,fixed_core_score,,vitamin_D_related,nuclear_receptor_comparator,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,0.7560751693650193,1.7676757964061687,0.7288019815239144,1.8304438754667154,,,
fixed_core_score,cell_line_stratified_directionality,fixed_core_score,,vitamin_D_related,unrelated_comparator,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,0.8938398342103467,1.790180435941767,0.8230881022433749,1.9380779431467554,,,
hallmark_score,global_unmatched,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,vitamin_D_related,unrelated_comparator,258.0,96326.0,,,0.05409232324662666,0.0025929411409334785,0.05149938210569318,,,0.08866392810307683,0.010134681755498014,0.07852924634757881,,,0.10494715377866548,0.17274901476711826,0.0035477656081916225,0.004730354144255496,0.005317181623884514,0.007089575498512686,,,,,,,,,,,,,,,,,2.8109925395240536,13730133.0,,,,,,,,,True,,
hallmark_score,global_unmatched,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,vitamin_D_related,nuclear_receptor_comparator,258.0,4016.0,,,0.05409232324662666,0.0667074356024691,-0.012615112355842437,,,0.08866392810307683,0.07908820441578125,0.009575723687295576,,,-0.01239422156335901,-0.044104081705370654,0.7382412650348518,0.8053541073107474,0.5036957023857653,0.5333248613496339,,,,,,,,,,,,,,,,,-0.6695240738154878,511643.0,,,,,,,,,True,,
hallmark_score,global_unmatched,HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,vitamin_D_related,unrelated_comparator,258.0,96326.0,,,0.11517223031789424,-0.00046766829068535157,0.1156398986085796,,,0.10992289970744828,-0.008197209724809414,0.1181201094322577,,,0.3057314896587444,0.5756339134468343,1.9913199797241047e-17,1.0241074181438252e-16,1.4236390955852227e-14,5.1251007441068015e-14,,,,,,,,,,,,,,,,,8.16597717139359,16225090.0,,,,,,,,,True,,
