sig_id,pert_id,cell_id,tas,ss_ngene,distil_cc_q75,dose,pert_dose_unit,pert_time,pert_time_unit,is_exemplar_sig,is_null_sig,is_ncs_sig,qc_pass,log_dose,dose_bin,core_score
ASG002_A549_24H:A22,BRD-K56429665,A549,0.218764,230,0.2035,10.0,uM,24.0,h,False,False,True,True,1.0,high,3.0939262887482837
ASG002_A549_24H:O07,BRD-K27316855,A549,0.074122,76,0.0707,10.0,uM,24.0,h,False,False,True,True,1.0,high,2.7999597941894105
LKCP001_U2OS_24H:F09,BRD-K84163249,U2OS,0.135983,102,0.1773,0.1,uM,24.0,h,False,False,True,True,-1.0,low,0.48172308130514757
LKCP001_U2OS_24H:J22,BRD-K73237276,U2OS,0.169511,142,0.1979,10.0,uM,24.0,h,False,False,True,True,1.0,high,2.277099580265329
LKCP001_U2OS_24H:J23,BRD-K73237276,U2OS,0.153094,157,0.146,1.0,uM,24.0,h,False,False,True,True,0.0,low,2.5493014801992793
LKCP001_U2OS_24H:J24,BRD-K73237276,U2OS,0.259983,372,0.1777,0.1,uM,24.0,h,False,False,True,True,-1.0,low,2.1466225594878283
LKCP001_U2OS_24H:N10,BRD-K28456624,U2OS,0.224902,149,0.332,10.0,uM,24.0,h,True,False,True,True,1.0,high,2.9895725220921583
LKCP001_U2OS_24H:N11,BRD-K28456624,U2OS,0.136265,111,0.1636,1.0,uM,24.0,h,False,False,True,True,0.0,low,2.3157964734691503
LKCP001_U2OS_24H:N12,BRD-K28456624,U2OS,0.321415,275,0.3674,0.1,uM,24.0,h,False,False,True,True,-1.0,low,0.9873915623013032
ASG003_U2OS_24H:G24,BRD-K27316855,U2OS,0.120153,111,0.1272,0.1,uM,24.0,h,False,False,True,True,-1.0,low,1.4767340555502115
LKCP001_MCF7_24H:N10,BRD-K28456624,MCF7,0.288826,222,0.3675,10.0,uM,24.0,h,False,False,True,True,1.0,high,3.301812768702823
